word	phonetic	pos	translation	tags	frequency	exchange
be	bi:		v. 是, 表示, 在\n[计] 后端, 总线允许	zk gk	bnc:2	p:was/3:is/d:been/i:being
and	ænd		conj. 和, 与\n[计] 与	zk gk	bnc:4	
have	hæv		vt. 有, 怀有, 拿, 进行\naux. 已经	zk gk	bnc:8	i:having/p:had/3:has/d:had
for	fɒ:		prep. 为, 因为, 至于\nconj. 因为\n[计] DOS批处理命令:对一组参数重复执行指定的命令	zk gk	bnc:12	
that	ðæt		a. 那, 那个\nconj. 以致, 因为\npron. 那\nadv. 那么, 那样	zk gk	bnc:14	
not	nɒt		adv. 不, 非, 未\n[计] 非	zk gk	bnc:13	
this	θis		pron. 这, 本\na. 这, 本\nadv. 这么	zk gk	bnc:23	
or	ɒ:		conj. 或, 或者\n[计] 或	zk gk	bnc:29	
if	if		conj. 如果, 是否, 无论何时, 假设, 即使\nn. 条件\n[计] DOS批处理命令:根据所测试的条件决定是否执行另一条命令	zk gk	bnc:40	
find	faind		vt. 发现, 感到, 找到, 认为, 得到\nvi. 裁决\nn. 发现\n[计] 查找; DOS外部命令:在指定的文件或从键盘输入的文本行中\n寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上	zk gk	bnc:92	d:found/p:found/i:finding/3:finds/s:finds
because	bi'kɒ:z		conj. 因为	zk gk	bnc:101	
should	ʃud		aux. 应该, 将要	zk gk	bnc:85	
try	trai		n. 尝试, 试验, 审理, 审判\nvt. 试, 尝试, 试验, 考验, 审问, 提炼\nvi. 尝试, 试图	zk gk	bnc:159	i:trying/p:tried/d:tried/3:tries/s:tries
group	gru:p		n. 团体, 组, 团, 群\nv. 聚合, 成群\n[计] 创建组; 组, 用户组	zk gk ielts gre	bnc:142	s:groups/d:grouped/p:grouped/i:grouping/3:groups
system	'sistәm		n. 系统, 体系, 制度, 方式, 秩序, 分类原则\n[计] 系统; 体制; 体系	gk cet4 cet6 ky toefl ielts	bnc:136	s:systems
number	'nʌmbә		n. 数, 数字, 数目, 号码\nvt. 数, 计算, 共计\nvi. 计算, 报数\n[计] 数字	zk gk	bnc:143	s:numbers/d:numbered/p:numbered/i:numbering/0:numb/1:r/3:numbs
start	stɑ:t		n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件\nvi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛\nvt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用\n[计] 起始	zk gk	bnc:205	p:started/d:started/3:starts/i:starting/s:starts
run	rʌn		n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续\nvi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延\nvt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行\na. 熔化的, 融化的, 浇铸的\nrun的过去式和过去分词\n[计] 运行	zk gk	bnc:208	p:ran/i:running/d:run/0:run/1:d/3:runs/s:runs
next	'nekst		n. 下一个\na. 下一个的, 其次的, 贴近的\nadv. 然后, 下次, 次于\n[计] 近邻干扰	zk gk	bnc:199	
service	'sә:vis		n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门\nvt. 保养, 维修\na. 武装部队的, 服务性的, 仆人的, 耐用的\n[计] 服务, 业务	zk gk ielts	bnc:160	s:services/d:serviced/i:servicing/p:serviced/3:services
however	hau'evә		adv. 然而, 无论如何, 究竟怎样\nconj. 然而, 可是	zk gk cet4 ky	bnc:145	
write	rait		vt. 书写, 著述, 写, 写满, 写信给\nvi. 写, 写字, 写信, 写作, 作曲\n[计] 书写器	zk gk	bnc:211	p:wrote/d:written/i:writing/3:writes
word	wә:d		n. 话, 消息, 词, 诺言, 命令\nvt. 用言辞表达\n[计] 字	zk gk	bnc:196	s:words/d:worded/i:wording/p:worded/3:words
line	lain		n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系\nvt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹\nvi. 排队\n[计] 线路	zk gk cet4 cet6 ky ielts	bnc:277	s:lines/d:lined/i:lining/p:lined/3:lines
local	'lәukәl		a. 地方性的, 当地的, 局部的, 乡土的, 本地的\nn. 当地居民, 本地新闻, 局部\n[计] 本地的; 局部	gk cet4 cet6 ky ielts	bnc:191	s:locals
result	ri'zʌlt		n. 结果, 成绩, 答案\nvi. 产生, 结果, 致使\n[计] 结果	zk gk cet4 cet6 ky ielts	bnc:264	s:results/p:resulted/i:resulting/d:resulted/3:results
public	'pʌblik		n. 公众, 民众\na. 公众的, 公共的, 公立的, 公用的	zk gk cet4 cet6 ky ielts	bnc:319	
read	ri:d		v. 读, 阅读, 理解\na. 有学问的\nn. 读取, 阅读\n[计] 读取	zk gk	bnc:322	d:read/0:read/1:dp/i:reading/p:read/3:reads
stop	stɒp		n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓\nvi. 停止, 被塞住\nvt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝	zk gk	bnc:359	p:stopped/d:stopped/i:stopping/3:stops/s:stops
process	'prɒses		n. 程序, 进行, 过程\nvt. 加工, 使...接受处理, 对...处置, 对...起诉\na. 经加工的, 有特殊光效的\n[计] 进程	gk cet4 cet6 ky toefl ielts	bnc:343	s:processes/d:processed/i:processing/p:processed/3:processes
open	'әupәn		n. 公开, 户外, 空旷\na. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的\nvt. 打开, 公开, 开放\nvi. 展开, 开始, 展现\n[计] 打开指令; 打开语句	zk gk	bnc:403	p:opened/d:opened/i:opening/3:opens
control	kәn'trәul		n. 控制, 管理, 克制, 控制器, 操纵装置\nvt. 控制, 操纵, 抑制\n[计] 控制; 控制器	zk gk cet4 ky ielts gre	bnc:339	s:controls/d:controlled/i:controlling/3:controls/p:controlled
create	kri:'eit		vt. 创造, 建造, 引起, 任命	zk gk cet4 cet6 ky ielts	bnc:449	d:created/i:creating/3:creates/p:created
view	vju:		n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象\nvt. 看, 考虑, 视察, 查看, 估量\n[计] 视图	gk cet4 cet6 ky ielts	bnc:311	s:views/d:viewed/p:viewed/i:viewing/3:views
class	klɑ:s		n. 班级, 阶级, 种类, 课\nvt. 分类\n[计] 类别; 类; 种类; 类程	zk gk ielts	bnc:387	s:classes/d:classed/i:classing/p:classed/3:classes
build	bild		v. 建立, 建筑\nn. 构造, 体格	zk gk	bnc:415	d:built/i:building/p:built/3:builds
action	'ækʃәn		n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式	zk gk cet4 cet6 ky toefl ielts	bnc:340	s:actions/i:actioning/p:actioned/3:actions
value	'vælju:		n. 价值, 价格, 购买力, 评价, 估价, 计算结果\nvt. 评价, 估价, 重视\n[计] 计算结果	zk gk cet4 cet6 ky ielts	bnc:367	s:values/d:valued/p:valued/i:valuing/3:values
return	ri'tә:n		n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书\na. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的\nvi. 返回, 归还, 回来\nvt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回\n[计] 返回	zk gk ielts	bnc:428	p:returned/d:returned/i:returning/s:returns/3:returns
else	els		a. 别的, 其他的\nadv. 另外, 否则, 不然	zk gk	bnc:471	
available	ә'veilәbl		a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的	zk gk cet4 cet6 ky toefl ielts gre	bnc:334	
event	i'vent		n. 事件, 结果, 事情的进程, 竞赛项目\n[计] 事件	gk cet4 ky ielts	bnc:473	s:events
test	test		n. 测试, 试验, 化验, 检验, 考验, 甲壳\nvt. 测试, 试验, 化验\nvi. 接受测验, 进行测试	zk gk cet4 cet6 ky ielts	bnc:627	s:tests/d:tested/i:testing/p:tested/3:tests
sort	sɒ:t		n. 种类, 方式, 品质, 态度, 举止\nvt. 分类, 排序, 挑选\nvi. 交往, 协调\n[计] 排序; DOS外部命令:从标准输入设备接收数据, 整个数据输入完后\n对它以行为单位进行排序, 然后在标准输出设备上输出	zk gk cet4 cet6 ky toefl ielts	bnc:421	s:sorts/d:sorted/i:sorting/p:sorted/3:sorts
while	hwail		n. 一会儿, (一段)时间\nconj. 当...的时候, 虽然\nvt. 消磨	zk gk	bnc:173	
example	ig'zæmpl		n. 例子, 样本, 实例\n[化] 实例	zk gk ielts	bnc:511	s:examples
page	peidʒ		n. 页, 记录, 事件, 专栏, 男侍\nvt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候\nvi. 翻书页, 侍侯\n[计] 页; 页面	zk gk	bnc:658	s:pages/i:paging/p:paged/3:pages/d:paged
current	'kʌrәnt		n. 涌流, 趋势, 流\na. 流通的, 现在的, 当前的, 流行的\n[计] 当前的	cet4 cet6 ky toefl ielts	bnc:755	s:currents
save	seiv		n. 救球\nvt. 解救, 挽救, 储蓄, 保存, 节省, 保留\nvi. 挽救, 节省, 救球\nprep. 除...之外\n[计] 保存	zk gk cet4 cet6 ky toefl	bnc:848	d:saved/p:saved/i:saving/3:saves/s:saves
true	tru:		a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的\nn. 真实, 准确\nadv. 真实地, 准确地	zk gk	bnc:547	r:truer/t:truest/i:truing/p:trued/3:trues/d:trued
model	'mɒdәl		n. 模型, 模范, 模特儿\na. 模范的, 作模型用的\nvi. 做模型, 做模特儿\nvt. 使模仿, 塑造\n[计] 模型	zk gk cet4 ky ielts	bnc:551	s:models/d:modelled/i:modelling/p:modelled/3:models
data	'deitә		pl. 资料, 数据\n[计] 数据; DOS内部命令:用于显示或设定系统的日期	gk cet4 ky ielts	bnc:552	
window	'windәu		n. 窗户, 窗子, 窗口\nvt. 给...开窗\n[计] 窗口	zk gk ielts	bnc:517	s:windows
source	sɒ:s		n. 来源, 水源, 根源, 原始资料, 源\n[计] 来源, 源程序	cet4 cet6 ky ielts	bnc:633	s:sources/d:sourced/i:sourcing/p:sourced/3:sources
finally	'fainәli		adv. 最后, 终于	cet4 ky	bnc:771	
private	'praivit		a. 私人的, 秘密的, 私立的, 隐蔽的\nn. 士兵, 隐士, 阴部\n[计] 私人的	zk gk cet4 cet6 ky toefl ielts	bnc:581	s:privates
catch	kætʃ		n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手\nvt. 捕捉, 赶上, 感染, 听清楚\nvi. 抓住, 燃着	zk gk ielts	bnc:681	d:caught/p:caught/i:catching/3:catches/s:catches
response	ri'spɒns		n. 反应, 回答, 响应\n[计] 应答	cet4 cet6 ky ielts gre	bnc:798	s:responses
method	'meθәd		n. 方法, 办法, 条理, 秩序\n[医] [方]法	zk gk cet4 cet6 ky ielts	bnc:561	s:methods
therefore	'ðєәfɒ:		adv. 因此, 所以	gk cet4 cet6 ky toefl	bnc:408	
check	tʃek		n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军\nvt. 检查, 阻止, 核对, 寄存, 托运\nvi. 逐项相符, 开支票\n[计] 复选	zk gk toefl ielts gre	bnc:997	i:checking/d:checked/p:checked/s:checks/3:checks
memory	'memәri		n. 记忆, 记忆力, 回忆, 纪念, 存储\nn. 内存\n[计] 存储器, 内存, 查看内存实用程序	zk gk cet4 cet6 ky toefl	bnc:979	s:memories
message	'mesidʒ		n. 消息, 通讯, 讯息, 教训, 预言, 广告词\nvt. 通知\nvi. 通报, 报告, 报信\n[计] 报文; 消息; 信息	zk gk cet4 cet6 ky	bnc:1120	s:messages/i:messaging/p:messaged/3:messages/d:messaged
match	mætʃ		n. 比赛, 火柴, 对手\nvt. 使相配, 使比赛, 与...竞争\nvi. 结婚, 相配\n[计] 比较	zk gk toefl ielts	bnc:1097	s:matches/d:matched/3:matches/i:matching/p:matched
can	kæn		vt. 装罐\nn. 罐头, 容器\naux. 能, 可以\n[计] 作废字符	zk gk toefl	bnc:35	s:cans/i:/p:could/3:can/d:
previous	'pri:viәs		a. 早先的, 前面的, 过急的\n[法] 以前的, 生前的, 前述的	cet4 cet6 ky toefl ielts gre	bnc:824	
object	'ɒbdʒekt		n. 物体, 目标, 目的, 对象, 宾语, 客体\nvi. 反对, 抱反感\nvt. 提出...来反对\n[计] 对象	zk gk cet4 cet6 ky ielts	bnc:1028	s:objects/p:objected/d:objected/i:objecting/3:objects
option	'ɒpʃәn		n. 选择权, 挑选, 选项\n[计] 选项	cet4 cet6 ky toefl ielts	bnc:1086	s:options
function	'fʌŋkʃәn		n. 官能, 职务, 功能, 函数\nvi. 活动, 运行, 行使职责\n[计] 功能, 函数	gk cet4 cet6 ky ielts	bnc:782	s:functions/i:functioning/p:functioned/3:functions/d:functioned
none	nʌn		adv. 一点也不, 毫不\npron. 没有人, 无一物, 并无一个\na. 没有的	zk gk	bnc:1182	
close	klәuz		n. 结束, 完结\na. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的\nvt. 关, 结束, 使靠近, 封闭, 使接近\nvi. 关闭, 结束, 靠近\nadv. 接近地, 紧密地\n[计] 关闭	zk gk toefl	bnc:647	p:closed/r:closer/d:closed/i:closing/t:closest/3:closes
target	'tɑ:git		n. 目标, 靶子, 指标\nvt. 对准, 订指标	gk cet4 cet6 ky toefl ielts	bnc:1095	s:targets/d:targeted/i:targeting/p:targeted/3:targets
document	'dɒkjumәnt		n. 文件, 公文, 文档\nvt. 证明, 为...引证\n[计] 文档	gk cet4 cet6 ky toefl gre	bnc:1052	s:documents/d:documented/i:documenting/p:documented/3:documents
focus	'fәukәs		n. 焦点, 焦距\nvi. 聚焦, 注视\nvt. 使聚焦, 调焦, 集中\n[计] 焦点	gk cet4 cet6 ky toefl ielts	bnc:1918	d:focused/i:focusing/3:focuses/p:focused/s:foci
screen	skri:n		n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子\nvt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别\nvi. 拍电影\n[计] 筛选; 屏幕	zk gk cet4 cet6 ky toefl	bnc:1648	s:screens/d:screened/i:screening/p:screened/3:screens
file	fail		n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀\nvi. 列队行进, 用锉刀做\nvt. 归档, 申请, 锉, 琢磨\n[计] 文件	gk cet4 ky toefl ielts gre	bnc:1170	s:files/d:filed/p:filed/i:filing/3:files
copy	'kɒpi		n. 副本, 摹仿, 一册\nv. 复印, 抄袭, 复制\n[计] 副本; 复制; DOS内部命令:复制文件\n将几个文件合并成一个文件, 以及将文件传至外设或在设备之间传送	zk gk toefl ielts	bnc:1175	s:copies/d:copied/i:copying/p:copied/3:copies
application	.æpli'keiʃәn		n. 应用, 申请, 志愿书, 应用程序\n[计] 应用, 应用程序	gk cet4 cet6 ky toefl ielts gre	bnc:608	s:applications
search	sә:tʃ		n. 搜寻, 查究\nv. 搜寻, 搜查, 探求, 调查, 搜索\n[计] 搜索, 路径检索程序	zk gk cet4 cet6 ky toefl	bnc:1690	i:searching/p:searched/s:searches/d:searched/3:searches
sentence	'sentәns		n. 句子, 命题, 宣判\nvt. 宣判, 判决\n[计] 句子	zk gk cet4 cet6 ky toefl	bnc:1168	s:sentences/d:sentenced/p:sentenced/i:sentencing/3:sentences
